[2025-12-02 12:48:58] User: WIshkas | Choice: belum | IP: ::1
[2025-12-03 03:27:04] User: Kol Bogor | Choice: pernah | IP: ::1
[2025-12-03 03:28:58] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-03 03:30:02] User: Kol Bogor | Choice: pernah | IP: ::1
[2025-12-03 12:24:43] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-03 12:40:20] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-03 14:10:33] User: Kol Bogor | Choice: pernah | IP: ::1
[2025-12-03 14:52:14] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-03 15:10:23] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-03 15:13:39] User: Ujang Kedu | Choice: pernah | IP: ::1
[2025-12-03 15:17:19] User: sahroni | Choice: pernah | IP: ::1
[2025-12-03 15:21:38] User: WIshkas | Choice: pernah | IP: ::1
[2025-12-03 15:22:14] User: Kol Bogor | Choice: pernah | IP: ::1
[2025-12-03 15:32:55] User: Kol Bogor | Choice: pernah | IP: ::1
[2025-12-04 02:28:22] User: Julian Dwi Satrio | Choice: pernah | IP: ::1
[2025-12-05 08:28:42] User: Jack Deung | Choice: pernah | IP: ::1
[2025-12-05 08:32:44] User: Jack | Choice: pernah | IP: ::1
[2025-12-05 08:36:49] User: asdasd | Choice: pernah | IP: ::1
[2025-12-08 07:25:00] User: WIshkas | Choice: belum | IP: ::1
[2025-12-08 07:55:05] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 07:56:30] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 07:57:54] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 07:58:22] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 08:00:59] User: Kol Bogor | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 08:07:24] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 13:10:35] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 13:12:11] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 15:44:58] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:09:54] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:11:33] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:19:50] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:23:04] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:24:18] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 16:25:54] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 17:37:58] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 17:39:15] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 17:46:23] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
[2025-12-08 17:47:30] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 18:33:29] User: Julian Dwi Satrio | Choice: belum | Skip Quiz: Yes | IP: ::1
[2025-12-08 18:33:53] User: Julian Dwi Satrio | Choice: pernah | Skip Quiz: No | IP: ::1
